timestamp,switch_dpid,in_port,eth_src,eth_dst,eth_type,protocol,src_ip,dst_ip,src_port,dst_port,length,tcp_flags,ttl,icmp_type
14:42:38.698,0000000000000003,1,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:42:38.700,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::740c:2dff:fe7a:aaff,ff02::2,,,70,,,133
14:42:38.701,0000000000000002,3,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:42:38.703,0000000000000001,2,52:08:3a:51:b2:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::5008:3aff:fe51:b232,ff02::2,,,70,,,133
14:42:39.207,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::3493:1aff:fe6e:8efe,ff02::2,,,70,,,133
14:42:47.400,0000000000000002,1,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:42:47.403,0000000000000003,2,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:42:47.404,0000000000000001,2,6a:d7:99:60:36:21,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::68d7:99ff:fe60:3621,ff02::2,,,70,,,133
14:42:51.497,0000000000000001,1,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
14:42:51.500,0000000000000002,2,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
14:42:51.503,0000000000000003,2,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
